source,time,value,unit
Noah’s Apple Watch,801,57.0,count/min
Noah’s Apple Watch,804,49.0,count/min
Noah’s Apple Watch,809,55.0,count/min
Noah’s Apple Watch,817,54.0,count/min
Noah’s Apple Watch,820,59.0,count/min
Noah’s Apple Watch,824,53.0,count/min
Noah’s Apple Watch,828,59.0,count/min
Noah’s Apple Watch,834,73.0,count/min
Noah’s Apple Watch,839,90.0,count/min
Noah’s Apple Watch,844,81.0,count/min
Noah’s Apple Watch,853,73.0,count/min
Noah’s Apple Watch,857,70.0,count/min
Noah’s Apple Watch,860,74.0,count/min
Noah’s Apple Watch,865,81.0,count/min
Noah’s Apple Watch,872,58.0,count/min
Noah’s Apple Watch,876,65.0,count/min
Noah’s Apple Watch,883,72.0,count/min
Noah’s Apple Watch,888,81.0,count/min
Noah’s Apple Watch,889,84.0,count/min
Noah’s Apple Watch,896,71.1866,count/min
Noah’s Apple Watch,901,74.0,count/min
Noah’s Apple Watch,908,73.0,count/min
Noah’s Apple Watch,909,60.0,count/min
Noah’s Apple Watch,914,68.0,count/min
Noah’s Apple Watch,919,67.0,count/min
Noah’s Apple Watch,923,72.0,count/min
Noah’s Apple Watch,937,76.0,count/min
Noah’s Apple Watch,941,69.0,count/min
Noah’s Apple Watch,945,127.5,count/min
Noah’s Apple Watch,946,129.5,count/min
Noah’s Apple Watch,947,141.08333333333334,count/min
Noah’s Apple Watch,948,138.33333333333334,count/min
Noah’s Apple Watch,949,136.33333333333334,count/min
Noah’s Apple Watch,950,116.58333333333333,count/min
Noah’s Apple Watch,951,115.0,count/min
Noah’s Apple Watch,966,104.14285714285714,count/min
Noah’s Apple Watch,967,109.0,count/min
Noah’s Apple Watch,986,110.0,count/min
Noah’s Apple Watch,997,115.0,count/min
Noah’s Apple Watch,1004,111.0,count/min
Noah’s Apple Watch,1011,66.0,count/min
Noah’s Apple Watch,1017,84.0,count/min
Noah’s Apple Watch,1156,67.0,count/min
Noah’s Apple Watch,1160,81.0,count/min
Noah’s Apple Watch,1162,90.85714285714286,count/min
Noah’s Apple Watch,1163,91.58333333333333,count/min
Noah’s Apple Watch,1164,89.15384615384616,count/min
Noah’s Apple Watch,1165,93.45454545454545,count/min
Noah’s Apple Watch,1166,96.33333333333333,count/min
Noah’s Apple Watch,1167,92.61538461538461,count/min
Noah’s Apple Watch,1168,95.0909090909091,count/min
Noah’s Apple Watch,1169,91.38461538461539,count/min
Noah’s Apple Watch,1170,93.27272727272727,count/min
Noah’s Apple Watch,1171,88.0,count/min
Noah’s Apple Watch,1172,85.54545454545455,count/min
Noah’s Apple Watch,1176,91.0,count/min
Noah’s Apple Watch,1181,99.0,count/min
Noah’s Apple Watch,1183,79.0,count/min
Noah’s Apple Watch,1186,77.0,count/min
Noah’s Apple Watch,1192,84.3651,count/min
Noah’s Apple Watch,1195,77.0,count/min
Noah’s Apple Watch,1199,89.0,count/min
Noah’s Apple Watch,1209,100.33333333333333,count/min
Noah’s Apple Watch,1213,91.0,count/min
Noah’s Apple Watch,1214,88.0,count/min
Noah’s Apple Watch,1218,83.0,count/min
Noah’s Apple Watch,1224,96.0,count/min
Noah’s Apple Watch,1226,99.0,count/min
Noah’s Apple Watch,1230,72.0,count/min
Noah’s Apple Watch,1235,85.0,count/min
Noah’s Apple Watch,1239,87.0,count/min
Noah’s Apple Watch,1248,77.0,count/min
Noah’s Apple Watch,1249,74.0,count/min
Noah’s Apple Watch,1252,99.0,count/min
Noah’s Apple Watch,1254,93.0,count/min
Noah’s Apple Watch,1257,104.0,count/min
Noah’s Apple Watch,1259,115.0,count/min
Noah’s Apple Watch,1263,98.0,count/min
Noah’s Apple Watch,1265,108.0,count/min
Noah’s Apple Watch,1269,49.0,count/min
Noah’s Apple Watch,1272,105.0,count/min
Noah’s Apple Watch,1274,105.0,count/min
Noah’s Apple Watch,1277,109.0,count/min
Noah’s Apple Watch,1280,93.0,count/min
Noah’s Apple Watch,1321,92.8,count/min
Noah’s Apple Watch,1322,91.0,count/min
Noah’s Apple Watch,1324,90.5,count/min
Noah’s Apple Watch,1325,92.0,count/min
Noah’s Apple Watch,1333,91.0,count/min
Noah’s Apple Watch,1338,91.0,count/min
Noah’s Apple Watch,1340,93.0,count/min
Noah’s Apple Watch,1347,93.0,count/min
Noah’s Apple Watch,1353,91.0,count/min
Noah’s Apple Watch,1354,99.0,count/min
Noah’s Apple Watch,1363,95.0,count/min
Noah’s Apple Watch,1367,101.0,count/min
Noah’s Apple Watch,1369,100.0,count/min
Noah’s Apple Watch,1375,101.0,count/min
Noah’s Apple Watch,1377,99.0,count/min
Noah’s Apple Watch,1380,100.0,count/min
Noah’s Apple Watch,1382,102.0,count/min
Noah’s Apple Watch,1383,93.8,count/min
Noah’s Apple Watch,1384,96.2,count/min
Noah’s Apple Watch,1385,97.0909090909091,count/min
