source,time,value,unit
Noah’s Iphone,0,14.870364583333334,Cal
Noah’s Iphone,1,24.654737704918038,Cal
Noah’s Iphone,2,21.99016417910448,Cal
Noah’s Iphone,3,24.6139,Cal
Noah’s Iphone,4,23.9372131147541,Cal
Noah’s Iphone,5,25.51863793103448,Cal
Noah’s Iphone,6,24.766933333333338,Cal
Noah’s Iphone,7,20.05917808219178,Cal
Noah’s Iphone,8,26.026214285714286,Cal
Noah’s Iphone,9,29.941599999999998,Cal
Noah’s Iphone,10,22.053253731343286,Cal
Noah’s Iphone,11,23.61968333333333,Cal
Noah’s Iphone,12,27.547981481481482,Cal
Noah’s Iphone,13,22.692936507936512,Cal
Noah’s Iphone,14,28.173288461538462,Cal
Noah’s Iphone,15,34.059022727272726,Cal
Noah’s Iphone,16,27.914843137254902,Cal
Noah’s Iphone,17,22.703553846153845,Cal
Noah’s Iphone,18,19.348379746835445,Cal
Noah’s Iphone,19,21.22544117647059,Cal
Noah’s Iphone,20,27.81171698113208,Cal
Noah’s Iphone,21,24.4902,Cal
Noah’s Iphone,22,22.63734920634921,Cal
Noah’s Iphone,23,19.762052631578946,Cal
Noah’s Iphone,24,25.754785714285713,Cal
Noah’s Iphone,25,21.273985294117647,Cal
Noah’s Iphone,26,22.840666666666674,Cal
Noah’s Iphone,27,19.941361111111107,Cal
Noah’s Iphone,28,21.715926470588244,Cal
Noah’s Iphone,29,16.490651162790698,Cal
Noah’s Iphone,30,20.586600000000004,Cal
Noah’s Iphone,31,27.856754716981143,Cal
Noah’s Iphone,32,24.58079310344828,Cal
Noah’s Iphone,33,25.29180357142857,Cal
Noah’s Iphone,34,26.46147272727273,Cal
Noah’s Iphone,35,20.385236111111112,Cal
Noah’s Iphone,36,30.17110638297873,Cal
Noah’s Iphone,37,24.498440677966105,Cal
Noah’s Iphone,38,23.431196721311483,Cal
Noah’s Iphone,39,29.013480000000005,Cal
Noah’s Iphone,40,17.854493827160496,Cal
Noah’s Iphone,41,22.650136363636364,Cal
Noah’s Iphone,42,20.376492957746482,Cal
Noah’s Iphone,43,17.921728395061727,Cal
Noah’s Iphone,44,25.60998245614035,Cal
Noah’s Iphone,45,21.28598507462687,Cal
Noah’s Iphone,46,27.724490566037744,Cal
Noah’s Iphone,47,29.238250000000004,Cal
Noah’s Iphone,48,18.227592592592593,Cal
Noah’s Iphone,49,28.914549019607847,Cal
Noah’s Iphone,50,25.816107142857142,Cal
Noah’s Iphone,51,33.46513636363637,Cal
Noah’s Iphone,52,22.324769230769228,Cal
Noah’s Iphone,53,23.817812500000002,Cal
Noah’s Iphone,54,20.121835616438357,Cal
Noah’s Iphone,55,23.346301587301586,Cal
Noah’s Iphone,56,23.261571428571433,Cal
Noah’s Iphone,57,21.57746268656717,Cal
Noah’s Iphone,58,25.45906779661017,Cal
Noah’s Iphone,59,23.53930158730159,Cal
Noah’s Iphone,60,22.93453125,Cal
Noah’s Iphone,61,19.89563157894737,Cal
Noah’s Iphone,62,28.897640000000003,Cal
Noah’s Iphone,63,25.027105263157896,Cal
Noah’s Iphone,64,21.266371428571432,Cal
Noah’s Iphone,65,21.70113235294118,Cal
Noah’s Iphone,66,22.5484375,Cal
Noah’s Iphone,67,23.71977777777778,Cal
Noah’s Iphone,68,24.558300000000006,Cal
Noah’s Iphone,69,24.471966666666674,Cal
Noah’s Iphone,70,26.510833333333334,Cal
Noah’s Iphone,71,25.395983333333334,Cal
Noah’s Iphone,72,25.376122807017545,Cal
Noah’s Iphone,73,23.13577419354839,Cal
Noah’s Iphone,74,17.61246428571429,Cal
Noah’s Iphone,75,26.401232142857143,Cal
Noah’s Iphone,76,23.816459016393452,Cal
Noah’s Iphone,77,24.91269491525424,Cal
Noah’s Iphone,78,20.918242857142857,Cal
Noah’s Iphone,79,22.771924242424245,Cal
Noah’s Iphone,80,20.890486111111112,Cal
Noah’s Iphone,81,21.605173913043483,Cal
Noah’s Iphone,82,31.91015555555556,Cal
Noah’s Iphone,83,32.24620000000001,Cal
Noah’s Iphone,84,39.7018888888889,Cal
Noah’s Iphone,85,40.36828571428572,Cal
Noah’s Iphone,86,41.18300000000001,Cal
Noah’s Iphone,87,42.46976470588236,Cal
Noah’s Iphone,88,33.583906976744196,Cal
Noah’s Iphone,89,30.794765957446813,Cal
Noah’s Iphone,90,32.63167441860465,Cal
Noah’s Iphone,91,26.616000000000003,Cal
Noah’s Iphone,92,22.66158461538462,Cal
Noah’s Iphone,93,26.793018867924527,Cal
Noah’s Iphone,94,27.556218181818192,Cal
Noah’s Iphone,95,20.929169014084508,Cal
Noah’s Iphone,96,23.14356923076923,Cal
Noah’s Iphone,97,27.165745454545466,Cal
Noah’s Iphone,98,26.19757407407408,Cal
Noah’s Iphone,99,20.244,Cal
Noah’s Iphone,100,20.18694366197184,Cal
Noah’s Iphone,101,23.755080645161293,Cal
Noah’s Iphone,102,19.35728,Cal
Noah’s Iphone,103,21.811588235294124,Cal
Noah’s Iphone,104,23.294852459016404,Cal
Noah’s Iphone,105,24.7795593220339,Cal
Noah’s Iphone,106,27.463288461538465,Cal
Noah’s Iphone,107,18.80498666666667,Cal
Noah’s Iphone,108,22.990203125,Cal
Noah’s Iphone,109,24.621862068965516,Cal
Noah’s Iphone,110,20.978285714285715,Cal
Noah’s Iphone,111,27.81173584905661,Cal
Noah’s Iphone,112,24.525850000000002,Cal
Noah’s Iphone,113,21.2977205882353,Cal
Noah’s Iphone,114,24.58748333333334,Cal
Noah’s Iphone,115,22.820984375000002,Cal
Noah’s Iphone,116,19.82504054054054,Cal
Noah’s Iphone,117,21.29885714285715,Cal
Noah’s Iphone,118,21.018760563380283,Cal
Noah’s Iphone,119,26.72160000000001,Cal
Noah’s Iphone,120,22.85153125,Cal
Noah’s Iphone,121,22.829046153846157,Cal
Noah’s Iphone,122,22.397308823529414,Cal
Noah’s Iphone,123,23.288492063492065,Cal
