Unnamed: 0,source,start,end,duration,value,sub_children
0,Noah’s Iphone,2021-09-03 00:29:05 -0400,2021-09-03 07:10:00 -0400,-1 days +17:19:05,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
1,Noah’s Iphone,2021-09-06 02:37:05 -0400,2021-09-06 07:30:35 -0400,-1 days +19:06:30,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
2,Noah’s Iphone,2021-09-08 00:45:37 -0400,2021-09-08 07:30:21 -0400,-1 days +17:15:16,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
3,Noah’s Iphone,2021-09-10 01:58:02 -0400,2021-09-10 07:30:21 -0400,-1 days +18:27:41,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
4,Noah’s Iphone,2021-09-13 01:24:08 -0400,2021-09-13 07:30:25 -0400,-1 days +17:53:43,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
5,Noah’s Iphone,2023-07-07 23:30:52 -0400,2023-07-08 00:28:40 -0400,-1 days +23:02:12,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
6,Noah’s Iphone,2023-07-08 00:29:16 -0400,2023-07-08 01:08:39 -0400,-1 days +23:20:37,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
7,Noah’s Iphone,2023-07-08 01:08:41 -0400,2023-07-08 02:39:00 -0400,-1 days +22:29:41,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
8,Noah’s Iphone,2023-07-08 02:39:51 -0400,2023-07-08 02:39:57 -0400,-1 days +23:59:54,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
9,Noah’s Iphone,2023-07-08 02:39:58 -0400,2023-07-08 02:41:17 -0400,-1 days +23:58:41,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
10,Noah’s Iphone,2023-07-08 02:42:14 -0400,2023-07-08 02:45:44 -0400,-1 days +23:56:30,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
11,Noah’s Iphone,2023-07-08 02:46:12 -0400,2023-07-08 02:49:06 -0400,-1 days +23:57:06,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
12,Noah’s Iphone,2023-07-08 02:50:11 -0400,2023-07-08 02:57:33 -0400,-1 days +23:52:38,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
13,Noah’s Apple Watch,2023-07-08 03:18:36 -0400,2023-07-08 07:31:06 -0400,-1 days +19:47:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
14,Noah’s Apple Watch,2023-07-08 07:39:36 -0400,2023-07-08 07:43:36 -0400,-1 days +23:56:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
15,Noah’s Apple Watch,2023-07-08 07:45:06 -0400,2023-07-08 07:58:06 -0400,-1 days +23:47:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
16,Noah’s Iphone,2023-07-08 02:58:52 -0400,2023-07-08 08:00:13 -0400,-1 days +18:58:39,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
17,Noah’s Iphone,2023-07-08 23:16:09 -0400,2023-07-09 00:36:07 -0400,-1 days +22:40:02,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
18,Noah’s Iphone,2023-07-09 01:08:17 -0400,2023-07-09 02:19:05 -0400,-1 days +22:49:12,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
19,Noah’s Iphone,2023-07-09 02:19:18 -0400,2023-07-09 02:19:25 -0400,-1 days +23:59:53,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
20,Noah’s Iphone,2023-07-09 02:19:56 -0400,2023-07-09 02:20:53 -0400,-1 days +23:59:03,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
21,Noah’s Iphone,2023-07-09 02:22:21 -0400,2023-07-09 02:22:22 -0400,-1 days +23:59:59,HKCategoryValueSleepAnalysisInBed,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
22,Noah’s Apple Watch,2023-07-09 02:37:27 -0400,2023-07-09 04:56:57 -0400,-1 days +21:40:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
23,Noah’s Apple Watch,2023-07-09 05:05:27 -0400,2023-07-09 05:06:57 -0400,-1 days +23:58:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
24,Noah’s Apple Watch,2023-07-09 05:08:57 -0400,2023-07-09 05:16:27 -0400,-1 days +23:52:30,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
25,Noah’s Apple Watch,2023-07-09 05:21:57 -0400,2023-07-09 07:57:57 -0400,-1 days +21:24:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
26,Noah’s Apple Watch,2023-07-09 08:00:57 -0400,2023-07-09 08:56:57 -0400,-1 days +23:04:00,HKCategoryValueSleepAnalysisAsleepUnspecified,"[{'key': 'HKTimeZone', 'value': 'America/New_York'}]"
