source,time,value,unit
Noah’s Apple Watch,207,15.4375,count/min
Noah’s Apple Watch,211,16.0,count/min
Noah’s Apple Watch,212,18.833333333333332,count/min
Noah’s Apple Watch,213,17.0,count/min
Noah’s Apple Watch,214,17.666666666666668,count/min
Noah’s Apple Watch,215,13.8,count/min
Noah’s Apple Watch,216,13.321428571428571,count/min
Noah’s Apple Watch,219,15.5,count/min
Noah’s Apple Watch,220,16.375,count/min
Noah’s Apple Watch,221,13.340909090909092,count/min
Noah’s Apple Watch,222,14.357142857142858,count/min
Noah’s Apple Watch,223,12.51,count/min
Noah’s Apple Watch,226,12.74561403508772,count/min
Noah’s Apple Watch,227,13.527027027027026,count/min
Noah’s Apple Watch,228,15.625,count/min
Noah’s Apple Watch,229,12.94,count/min
Noah’s Apple Watch,233,14.954545454545455,count/min
Noah’s Apple Watch,234,15.416666666666666,count/min
Noah’s Apple Watch,235,12.29,count/min
Noah’s Apple Watch,236,15.5,count/min
Noah’s Apple Watch,239,8.5,count/min
Noah’s Apple Watch,240,13.35897435897436,count/min
Noah’s Apple Watch,241,15.666666666666666,count/min
Noah’s Apple Watch,242,13.4375,count/min
Noah’s Apple Watch,243,15.0,count/min
Noah’s Apple Watch,244,15.571428571428571,count/min
Noah’s Apple Watch,246,14.071428571428571,count/min
Noah’s Apple Watch,247,13.035714285714286,count/min
Noah’s Apple Watch,248,13.583333333333334,count/min
Noah’s Apple Watch,249,13.471428571428572,count/min
Noah’s Apple Watch,250,13.25,count/min
Noah’s Apple Watch,253,15.666666666666666,count/min
Noah’s Apple Watch,254,18.75,count/min
Noah’s Apple Watch,260,16.7,count/min
Noah’s Apple Watch,261,15.6,count/min
Noah’s Apple Watch,262,12.756410256410257,count/min
Noah’s Apple Watch,263,13.6875,count/min
Noah’s Apple Watch,264,13.833333333333334,count/min
Noah’s Apple Watch,269,12.346153846153847,count/min
Noah’s Apple Watch,270,12.883333333333333,count/min
Noah’s Apple Watch,271,15.25,count/min
Noah’s Apple Watch,275,16.75,count/min
Noah’s Apple Watch,277,13.875,count/min
Noah’s Apple Watch,278,14.025,count/min
Noah’s Apple Watch,279,13.361702127659575,count/min
Noah’s Apple Watch,282,13.027777777777779,count/min
Noah’s Apple Watch,283,13.5,count/min
Noah’s Apple Watch,286,16.333333333333332,count/min
Noah’s Apple Watch,290,13.016666666666667,count/min
Noah’s Apple Watch,291,16.05,count/min
Noah’s Apple Watch,292,14.785714285714286,count/min
Noah’s Apple Watch,296,17.0,count/min
Noah’s Apple Watch,297,15.555555555555555,count/min
Noah’s Apple Watch,299,17.75,count/min
Noah’s Apple Watch,300,12.779069767441861,count/min
Noah’s Apple Watch,303,16.6,count/min
Noah’s Apple Watch,304,15.2,count/min
Noah’s Apple Watch,305,12.75,count/min
Noah’s Apple Watch,306,10.0,count/min
Noah’s Apple Watch,307,13.678571428571429,count/min
Noah’s Apple Watch,309,15.2,count/min
Noah’s Apple Watch,312,15.375,count/min
Noah’s Apple Watch,313,13.0,count/min
Noah’s Apple Watch,314,12.785714285714286,count/min
Noah’s Apple Watch,316,12.0,count/min
Noah’s Apple Watch,317,16.25,count/min
Noah’s Apple Watch,318,14.7,count/min
Noah’s Apple Watch,319,14.75,count/min
Noah’s Apple Watch,321,12.71111111111111,count/min
Noah’s Apple Watch,323,16.666666666666668,count/min
Noah’s Apple Watch,324,12.666666666666666,count/min
Noah’s Apple Watch,327,14.166666666666666,count/min
Noah’s Apple Watch,330,13.0,count/min
Noah’s Apple Watch,331,12.988636363636363,count/min
Noah’s Apple Watch,332,14.7,count/min
Noah’s Apple Watch,333,14.666666666666666,count/min
Noah’s Apple Watch,334,12.271428571428572,count/min
Noah’s Apple Watch,337,13.75,count/min
Noah’s Apple Watch,338,13.0,count/min
Noah’s Apple Watch,339,15.5,count/min
Noah’s Apple Watch,340,15.333333333333334,count/min
Noah’s Apple Watch,341,11.9625,count/min
Noah’s Apple Watch,344,16.571428571428573,count/min
Noah’s Apple Watch,345,12.869565217391305,count/min
Noah’s Apple Watch,346,12.776315789473685,count/min
Noah’s Apple Watch,348,17.0,count/min
Noah’s Apple Watch,349,12.904255319148936,count/min
Noah’s Apple Watch,352,15.833333333333334,count/min
Noah’s Apple Watch,353,13.083333333333334,count/min
Noah’s Apple Watch,360,17.75,count/min
Noah’s Apple Watch,361,12.435897435897436,count/min
Noah’s Apple Watch,362,13.305555555555555,count/min
Noah’s Apple Watch,366,13.4,count/min
Noah’s Apple Watch,367,11.486842105263158,count/min
Noah’s Apple Watch,368,14.14,count/min
Noah’s Apple Watch,369,18.375,count/min
Noah’s Apple Watch,370,15.833333333333334,count/min
Noah’s Apple Watch,373,13.666666666666666,count/min
Noah’s Apple Watch,374,16.285714285714285,count/min
Noah’s Apple Watch,375,14.0,count/min
Noah’s Apple Watch,376,15.75,count/min
Noah’s Apple Watch,379,16.25,count/min
Noah’s Apple Watch,380,13.042857142857143,count/min
Noah’s Apple Watch,381,17.75,count/min
Noah’s Apple Watch,382,16.75,count/min
Noah’s Apple Watch,383,16.73076923076923,count/min
Noah’s Apple Watch,384,15.875,count/min
Noah’s Apple Watch,386,17.25,count/min
Noah’s Apple Watch,388,15.75,count/min
Noah’s Apple Watch,389,16.3,count/min
Noah’s Apple Watch,390,15.25,count/min
Noah’s Apple Watch,391,17.0,count/min
Noah’s Apple Watch,400,16.2,count/min
Noah’s Apple Watch,401,16.416666666666668,count/min
Noah’s Apple Watch,402,12.0,count/min
Noah’s Apple Watch,403,18.0,count/min
Noah’s Apple Watch,404,19.5,count/min
Noah’s Apple Watch,410,16.75,count/min
Noah’s Apple Watch,411,17.307692307692307,count/min
Noah’s Apple Watch,417,16.333333333333332,count/min
Noah’s Apple Watch,418,13.914634146341463,count/min
Noah’s Apple Watch,423,15.642857142857142,count/min
Noah’s Apple Watch,424,12.971428571428572,count/min
Noah’s Apple Watch,425,13.766666666666667,count/min
Noah’s Apple Watch,426,13.3,count/min
Noah’s Apple Watch,431,13.022222222222222,count/min
Noah’s Apple Watch,433,13.324324324324325,count/min
Noah’s Apple Watch,435,22.0,count/min
Noah’s Apple Watch,436,13.974358974358974,count/min
Noah’s Apple Watch,437,14.617647058823529,count/min
Noah’s Apple Watch,438,14.75,count/min
Noah’s Apple Watch,439,17.0,count/min
Noah’s Apple Watch,443,16.785714285714285,count/min
Noah’s Apple Watch,444,13.3875,count/min
Noah’s Apple Watch,445,17.75,count/min
Noah’s Apple Watch,446,13.59375,count/min
Noah’s Apple Watch,449,16.333333333333332,count/min
Noah’s Apple Watch,450,13.333333333333334,count/min
Noah’s Apple Watch,451,18.0,count/min
