time,value
0,0.0
1,0.0
3,0.14285714285714285
8,1.0
23,0.0
25,0.0
26,0.0
27,0.5
29,1.0
32,1.0
48,0.0
49,0.0
50,0.0
55,0.0
72,0.0
73,0.0
74,0.0
79,0.0
96,0.0
97,0.0
98,0.3333333333333333
102,1.0
119,0.0
120,0.0
121,0.0
122,0.5
128,1.0
191,0.0
192,0.0
193,0.0
195,0.0
196,0.0
197,0.0
198,0.3333333333333333
200,1.0
215,0.0
216,0.0
217,0.0
218,0.2
219,1.0
221,1.0
222,1.0
223,1.0
224,0.5
239,0.0
240,0.0
241,0.5
244,1.0
245,1.0
246,1.0
247,1.0
263,0.0
264,0.0
265,0.16666666666666666
266,0.6
267,0.5
268,0.6666666666666666
269,0.5
270,0.6
271,0.5
287,0.0
288,0.0
289,0.5714285714285714
290,0.5555555555555556
291,0.5555555555555556
292,0.5
293,0.6666666666666666
294,1.0
295,0.5714285714285714
296,0.5
359,0.0
360,0.09090909090909091
361,0.23076923076923078
362,0.6
363,0.6
364,1.0
366,0.5
367,0.5555555555555556
368,1.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.1
387,0.7142857142857143
388,0.6363636363636364
389,0.42857142857142855
390,0.42857142857142855
391,1.0
392,0.4666666666666667
393,0.5
407,0.0
408,0.0
409,0.0
410,0.0
431,0.0
432,0.0
434,0.3333333333333333
435,1.0
436,0.5714285714285714
437,0.4
438,0.6
439,0.5
440,0.3333333333333333
455,0.0
456,0.0
457,0.0
463,0.0
464,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.6666666666666666
532,0.7142857142857143
533,0.5
534,0.5
535,0.42857142857142855
536,0.38461538461538464
537,0.4
550,0.0
554,0.6
555,0.6666666666666666
556,0.6
557,0.3333333333333333
558,0.5
560,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
584,0.0
599,0.0
600,0.0
601,0.0
602,0.0
608,0.0
623,0.0
624,0.0
625,0.0
626,0.375
627,0.3333333333333333
628,0.42857142857142855
629,0.6
630,0.34782608695652173
631,0.4
632,0.2
695,0.0
696,0.0
698,0.0
699,0.0
719,0.0
720,0.0
721,0.0
722,0.0
727,0.0
728,0.0
743,0.0
746,0.0
752,0.0
767,0.0
768,0.0
769,0.0
770,0.0
775,0.0
791,0.0
792,0.0
793,0.0
799,0.0
800,0.0
863,0.0
864,0.0
865,0.0
870,0.0
871,0.0
872,0.0
887,0.0
888,0.0
889,0.0
892,0.0
893,0.0
894,0.0
895,0.0
911,0.0
912,0.0
913,0.3333333333333333
914,1.0
915,0.5
916,1.0
917,0.5
918,0.3333333333333333
919,1.0
920,0.36363636363636365
934,0.0
935,0.0
936,0.0
937,0.0
944,0.0
958,0.0
959,0.0
960,0.0
962,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.4444444444444444
1035,1.0
1036,1.0
1037,0.5
1038,1.0
1039,1.0
1040,0.38461538461538464
1055,0.0
1056,0.0
1057,0.0
1059,0.7272727272727273
1060,0.7142857142857143
1061,0.6
1062,0.3333333333333333
1063,0.2
1064,0.0
1079,0.0
1080,0.0
1081,0.0
1088,0.0
1103,0.0
1104,0.0
1105,0.0
1106,0.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1199,0.0
1200,0.0
1201,0.0
1208,0.0
1221,0.0
1225,0.0
1226,0.0
1228,0.3333333333333333
1229,0.6
1230,1.0
1231,0.5
1232,1.0
1233,1.0
1247,0.0
1248,0.0
1249,0.16666666666666666
1250,0.75
1251,0.6666666666666666
1252,0.3333333333333333
1253,1.0
1254,0.6666666666666666
1255,0.375
1256,0.36363636363636365
1257,1.0
1271,0.0
1272,0.0
1273,0.0
1274,0.4166666666666667
1275,0.5
1276,0.6666666666666666
1277,0.5
1278,0.6666666666666666
1279,0.5
1280,0.3333333333333333
1295,0.0
1296,0.0
1297,0.0
1298,0.75
1299,1.0
1300,0.42857142857142855
1301,1.0
1302,0.5
1303,1.0
1304,0.3333333333333333
1305,1.0
1366,0.0
1368,0.0
1369,0.0
1371,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1400,0.0
1415,0.0
1416,0.0
1417,0.0
1423,0.0
1424,0.0
1439,0.0
1440,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.625
1468,1.0
1469,0.5555555555555556
1470,0.5555555555555556
1471,0.5
1472,0.4
1535,0.0
1536,0.0
1538,0.0
1539,0.6666666666666666
1540,0.5
1541,0.6
1542,0.5555555555555556
1543,0.3076923076923077
1544,0.5
1545,0.5
1559,0.0
1560,0.0
1567,0.0
1583,0.0
1584,0.0
1585,0.0
1592,0.0
1607,0.0
1608,0.0
1609,0.8333333333333334
1610,0.42857142857142855
1611,1.0
1613,0.5
1614,0.3333333333333333
1615,0.6
1616,1.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.3333333333333333
1708,0.6
1709,1.0
1710,1.0
1711,0.42857142857142855
1712,0.6
1727,0.0
1728,0.2857142857142857
1729,1.0
1730,1.0
1731,0.42857142857142855
1732,0.5
1733,1.0
1734,0.42857142857142855
1735,0.25
1736,0.5
1751,0.0
1752,0.0
1759,0.0
1760,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1783,0.0
1784,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.5555555555555556
1875,0.8333333333333334
1876,1.0
1877,0.5
1878,0.75
1879,0.4444444444444444
1880,0.6666666666666666
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1919,0.0
1920,0.0
1921,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.5
1948,1.0
1949,0.75
1950,0.6666666666666666
1951,0.6
1952,0.0
1953,0.4
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
2039,0.0
2040,0.0
2041,0.0
2042,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2095,0.0
2096,0.0
2111,0.0
2112,0.0
2135,0.0
2136,0.0
2137,0.0
2139,0.2
2140,1.0
2141,0.6666666666666666
2142,0.5555555555555556
2143,1.0
2144,1.0
2145,0.3333333333333333
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2230,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.5
2259,0.7142857142857143
2260,1.0
2261,0.5
2262,0.6
2263,0.7777777777777778
2264,0.5
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2283,0.6
2284,0.75
2285,1.0
