start,end,textvalue,value
2023-07-12 23:14:06 -0400,2023-07-12 23:16:56 -0400,InBed,0
2023-07-12 23:18:35 -0400,2023-07-12 23:23:47 -0400,InBed,0
2023-07-12 23:24:06 -0400,2023-07-12 23:24:58 -0400,InBed,0
2023-07-12 23:25:29 -0400,2023-07-12 23:34:40 -0400,InBed,0
2023-07-12 23:34:55 -0400,2023-07-12 23:45:23 -0400,InBed,0
2023-07-12 23:45:48 -0400,2023-07-13 00:17:41 -0400,InBed,0
2023-07-13 00:18:26 -0400,2023-07-13 00:31:45 -0400,InBed,0
2023-07-13 00:32:46 -0400,2023-07-13 00:46:34 -0400,InBed,0
2023-07-13 00:53:41 -0400,2023-07-13 00:59:56 -0400,InBed,0
2023-07-13 01:02:29 -0400,2023-07-13 01:24:19 -0400,InBed,0
2023-07-13 01:41:52 -0400,2023-07-13 07:30:22 -0400,AsleepUnspecified,1
2023-07-13 07:32:52 -0400,2023-07-13 07:44:22 -0400,AsleepUnspecified,1
2023-07-13 07:45:52 -0400,2023-07-13 07:46:52 -0400,AsleepUnspecified,1
2023-07-13 01:33:32 -0400,2023-07-13 08:00:05 -0400,InBed,0
2023-07-15 22:56:35 -0400,2023-07-15 22:59:15 -0400,InBed,0
2023-07-15 23:03:04 -0400,2023-07-15 23:13:21 -0400,InBed,0
2023-07-15 23:13:38 -0400,2023-07-15 23:15:17 -0400,InBed,0
2023-07-15 23:15:21 -0400,2023-07-15 23:19:52 -0400,InBed,0
2023-07-15 23:20:00 -0400,2023-07-15 23:22:32 -0400,InBed,0
2023-07-15 23:24:03 -0400,2023-07-15 23:28:50 -0400,InBed,0
2023-07-15 23:28:58 -0400,2023-07-15 23:31:29 -0400,InBed,0
2023-07-15 23:31:39 -0400,2023-07-15 23:31:40 -0400,InBed,0
2023-07-15 23:31:42 -0400,2023-07-15 23:31:43 -0400,InBed,0
2023-07-15 23:31:51 -0400,2023-07-15 23:32:02 -0400,InBed,0
2023-07-15 23:33:39 -0400,2023-07-15 23:34:49 -0400,InBed,0
2023-07-15 23:34:55 -0400,2023-07-15 23:35:03 -0400,InBed,0
2023-07-15 23:35:10 -0400,2023-07-15 23:36:13 -0400,InBed,0
2023-07-15 23:36:15 -0400,2023-07-15 23:43:25 -0400,InBed,0
2023-07-15 23:43:29 -0400,2023-07-15 23:44:41 -0400,InBed,0
2023-07-15 23:44:46 -0400,2023-07-15 23:47:43 -0400,InBed,0
2023-07-15 23:47:46 -0400,2023-07-15 23:54:22 -0400,InBed,0
2023-07-15 23:55:30 -0400,2023-07-15 23:56:06 -0400,InBed,0
2023-07-15 23:56:21 -0400,2023-07-15 23:59:30 -0400,InBed,0
2023-07-15 23:59:34 -0400,2023-07-15 23:59:37 -0400,InBed,0
2023-07-15 23:59:40 -0400,2023-07-15 23:59:45 -0400,InBed,0
2023-07-15 23:59:51 -0400,2023-07-16 00:05:49 -0400,InBed,0
2023-07-16 00:06:10 -0400,2023-07-16 00:17:22 -0400,InBed,0
2023-07-16 00:17:59 -0400,2023-07-16 00:37:08 -0400,InBed,0
2023-07-16 00:37:14 -0400,2023-07-16 00:41:46 -0400,InBed,0
2023-07-16 00:41:57 -0400,2023-07-16 00:52:56 -0400,InBed,0
2023-07-16 00:53:02 -0400,2023-07-16 00:53:03 -0400,InBed,0
2023-07-16 00:53:44 -0400,2023-07-16 00:54:41 -0400,InBed,0
2023-07-16 00:54:44 -0400,2023-07-16 01:01:53 -0400,InBed,0
2023-07-16 01:01:58 -0400,2023-07-16 01:03:42 -0400,InBed,0
2023-07-16 01:03:48 -0400,2023-07-16 01:06:18 -0400,InBed,0
2023-07-16 01:06:24 -0400,2023-07-16 01:15:39 -0400,InBed,0
2023-07-16 03:21:43 -0400,2023-07-16 03:21:55 -0400,InBed,0
2023-07-16 03:23:27 -0400,2023-07-16 03:27:49 -0400,InBed,0
2023-07-16 03:28:56 -0400,2023-07-16 03:29:02 -0400,InBed,0
2023-07-16 03:32:46 -0400,2023-07-16 03:38:17 -0400,InBed,0
2023-07-16 03:39:10 -0400,2023-07-16 03:39:31 -0400,InBed,0
2023-07-16 03:40:06 -0400,2023-07-16 03:40:26 -0400,InBed,0
2023-07-16 03:42:24 -0400,2023-07-16 03:43:31 -0400,InBed,0
2023-07-16 03:44:56 -0400,2023-07-16 03:45:02 -0400,InBed,0
2023-07-16 03:46:13 -0400,2023-07-16 03:46:55 -0400,InBed,0
2023-07-16 03:47:20 -0400,2023-07-16 03:50:09 -0400,InBed,0
2023-07-16 03:51:48 -0400,2023-07-16 03:51:52 -0400,InBed,0
2023-07-16 03:52:14 -0400,2023-07-16 03:52:24 -0400,InBed,0
2023-07-16 03:52:58 -0400,2023-07-16 03:54:24 -0400,InBed,0
2023-07-16 03:56:05 -0400,2023-07-16 03:58:46 -0400,InBed,0
2023-07-16 04:00:14 -0400,2023-07-16 04:02:20 -0400,InBed,0
2023-07-16 04:02:29 -0400,2023-07-16 04:02:46 -0400,InBed,0
2023-07-16 04:02:59 -0400,2023-07-16 04:43:54 -0400,InBed,0
2023-07-16 04:44:18 -0400,2023-07-16 05:18:24 -0400,InBed,0
2023-07-16 05:18:27 -0400,2023-07-16 06:16:45 -0400,InBed,0
2023-07-16 06:17:36 -0400,2023-07-16 06:17:45 -0400,InBed,0
2023-07-16 06:22:54 -0400,2023-07-16 08:01:24 -0400,AsleepUnspecified,1
2023-07-16 08:06:24 -0400,2023-07-16 08:09:24 -0400,AsleepUnspecified,1
2023-07-16 08:10:24 -0400,2023-07-16 10:01:54 -0400,AsleepUnspecified,1
2023-07-16 06:19:16 -0400,2023-07-16 10:05:14 -0400,InBed,0
2023-07-16 22:55:34 -0400,2023-07-16 23:01:46 -0400,InBed,0
2023-07-16 23:04:59 -0400,2023-07-16 23:06:18 -0400,InBed,0
2023-07-16 23:15:28 -0400,2023-07-16 23:16:19 -0400,InBed,0
2023-07-16 23:18:04 -0400,2023-07-16 23:53:41 -0400,InBed,0
2023-07-16 23:53:45 -0400,2023-07-17 00:01:00 -0400,InBed,0
2023-07-17 00:01:08 -0400,2023-07-17 00:02:08 -0400,InBed,0
2023-07-17 00:02:19 -0400,2023-07-17 00:10:13 -0400,InBed,0
2023-07-17 00:11:25 -0400,2023-07-17 00:13:41 -0400,InBed,0
2023-07-17 00:24:57 -0400,2023-07-17 00:37:32 -0400,InBed,0
2023-07-17 00:38:36 -0400,2023-07-17 00:50:21 -0400,InBed,0
2023-07-17 00:50:45 -0400,2023-07-17 00:58:51 -0400,InBed,0
2023-07-17 00:58:55 -0400,2023-07-17 00:59:10 -0400,InBed,0
2023-07-17 00:59:43 -0400,2023-07-17 01:01:04 -0400,InBed,0
2023-07-17 01:03:38 -0400,2023-07-17 01:06:10 -0400,InBed,0
2023-07-17 01:06:21 -0400,2023-07-17 01:06:25 -0400,InBed,0
2023-07-17 01:06:35 -0400,2023-07-17 01:06:43 -0400,InBed,0
2023-07-17 01:07:02 -0400,2023-07-17 01:08:25 -0400,InBed,0
2023-07-17 01:14:22 -0400,2023-07-17 01:17:50 -0400,InBed,0
2023-07-17 01:19:00 -0400,2023-07-17 01:30:29 -0400,InBed,0
2023-07-17 01:30:59 -0400,2023-07-17 01:37:36 -0400,InBed,0
2023-07-17 01:37:43 -0400,2023-07-17 01:50:09 -0400,InBed,0
